username,postsCount,followersCount,followsCount,private,verified,account
variety,18785,2076545,1151,0,1,1
thyview,40074,534088,268,0,0,1
chriswoakes,365,682367,1442,0,1,1
bbcnewsindia,2717,356497,19,0,1,1
shivam_mavi,196,233950,451,0,1,1
galattadotcom,74221,1914380,670,0,1,1
animalplanet,4307,5570757,793,0,1,1
earth,2940,6983962,546,0,1,1
rajinikanth,1,1228704,0,0,1,1
pubity,18694,38044719,2583,0,1,1
bbcnews,20806,27550339,11,0,1,1
jacindaardern,2342,1636373,877,0,1,1
ikamalhaasan,671,3734029,45,0,1,1
justinbieber,7481,292728272,776,0,1,1
sitaraghattamaneni,663,1920205,2311,0,1,1
tomholland2013,1252,65801130,323,0,1,1
planetearthtv,92,358406,378,0,0,1
redbull,9981,21435223,1979,0,1,1
cnn,15832,19891271,350,0,1,1
amitabhbachchan,1353,37541539,81,0,1,1
nasa,4160,98201314,77,0,1,1
iamsrk,836,46589731,6,0,1,1
anilravipudi,203,338019,205,0,1,1
bbcearth,6973,10650769,413,0,1,1
arrahman,1554,7982596,592,0,1,1
discovery,4557,20451361,923,0,1,1
gautamghattamaneni,103,326408,246,0,1,1
thisisbillgates,410,11090834,176,0,1,1
ssrajamouli,92,3230905,4,0,1,1
sonysportsnetwork,19515,797921,495,0,1,1
mmkeeravaani,31,65365,39,0,1,1
priyankachopra,3767,91086605,771,0,1,1
namratashirodkar,3488,5007410,1262,0,1,1
gordongram,5919,17254601,7497,0,1,1
tonyrobbins,1528,7046684,437,0,1,1
bachchan,1176,12413559,349,0,1,1
sonylivindia,26196,908699,99,0,1,1
ananyapanday,1357,24666050,1462,0,1,1
rrrmovie,520,455964,14,0,1,1
vickykaushal09,1634,17374445,420,0,1,1
arjunkapoor,1998,15957729,2621,0,1,1
taapsee,2879,20669600,292,0,1,1
harry_brook88,197,214638,743,0,1,1
iifa,12011,2351252,252,0,1,1
murali_800,111,145261,49,0,1,1
kapilsharma,1144,45785080,1182,0,1,1
dk00019,705,2956774,106,0,1,1
ar12russell,596,3508587,1648,0,1,1
lokilll11,0,0,2470,1,0,0
eichler.aiden,0,4,22,1,0,0
amar__1103,0,0,5,0,0,0
ivann_tkach,4,44,114,1,0,0
urfav_persiangurl,10,79,527,1,0,0
kinghell01415,0,0,11,0,0,0
vish_wa6566,0,5,27,1,0,0
rebalstarprabhas55,2,7,2778,1,0,0
royal_kgs_11,0,31,699,0,0,0
fitne_sshyd,0,90,329,1,0,0
naveensai_________,0,0,19,1,0,0
bha_vya7119,0,0,17,1,0,0
hyd1_boy143,0,1,283,1,0,0
opdanzer42,0,1,36,1,0,0
music_listner_1,0,8,72,1,0,0
tarunsri699,0,32,922,1,0,0
swetha_reddy_911,0,0,339,1,0,0
ran_domboy_,0,12,184,0,0,0
ramzan0072742,1,15,134,0,0,0
